PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
121,0.0684289,0.0386,0.0152452,0.00590206,0.0598285,480,0.24338,0.33164,,21.7537,1.30149,56.1905
122,0.101598,0.0386,0.0234524,0.00590206,0.0920372,480,0.24338,0.33164,,14.1409,1.30149,56.1905
123,0.38899,0.0386,0.0482917,0.00590206,0.189517,480,0.24338,0.33164,,6.86742,1.30149,56.1905
124,0.216645,0.0386,0.0459238,0.00590206,0.180224,480,0.24338,0.33164,,7.22152,1.30149,56.1905
125,0.0565291,0.0386,0.00859037,0.00590206,0.0337122,480,0.24338,0.33164,,38.606,1.30149,56.1905
126,0.476319,0.0386,0.031126,0.00590206,0.122151,480,0.24338,0.33164,,10.6548,1.30149,56.1905
127,0.275607,0.0386,0.0441545,0.00590206,0.173281,480,0.24338,0.33164,,7.51089,1.30149,56.1905
128,0.197452,0.0386,0.0498038,0.00590206,0.195451,480,0.24338,0.33164,,6.65892,1.30149,56.1905
129,0.204635,0.0386,0.0498446,0.00590206,0.195611,480,0.24338,0.33164,,6.65347,1.30149,56.1905
130,0.179421,0.0386,0.0579198,0.00590206,0.227301,480,0.24338,0.33164,,5.72585,1.30149,56.1905
131,0.282706,0.0386,0.0106318,0.00590206,0.0417235,480,0.24338,0.33164,,31.1932,1.30149,56.1905
132,0.272045,0.0386,0.43903,0.00590206,1.72294,480,0.24338,0.33164,,0.755392,1.30149,56.1905
133,0.306608,0.0386,0.0681403,0.00590206,0.267411,480,0.24338,0.33164,,4.86701,1.30149,56.1905
134,0.32354,0.0386,0.0182662,0.00590206,0.0716841,480,0.24338,0.33164,,18.1559,1.30149,56.1905
135,0.375144,0.0386,0.0245694,0.00590206,0.0964205,480,0.24338,0.33164,,13.4981,1.30149,56.1905
136,0.100393,0.0386,0.0724689,0.00590206,0.284398,480,0.24338,0.33164,,4.5763,1.30149,56.1905
137,0.312963,0.0386,0.191388,0.00590206,0.751087,480,0.24338,0.33164,,1.73281,1.30149,56.1905
138,0.576853,0.0386,0.00825426,0.00590206,0.0323932,480,0.24338,0.33164,,40.178,1.30149,56.1905
